,Provincia,Depto,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Latitud,Longitud
254,ENTRE RÍOS,PARANÁ,391696,141269,95.2,77.6,45.5,80.7,69.3,17.2,95.0,26.9,-31.69523,-60.04117
255,ENTRE RÍOS,SAN SALVADOR,20854,7137,92.8,87.5,15.8,72.5,69.7,16.5,92.2,35.5,-31.57688,-58.48637
256,ENTRE RÍOS,TALA,31309,11336,88.5,71.8,27.7,63.9,68.4,15.4,93.9,40.9,-32.31741,-59.26729
257,ENTRE RÍOS,URUGUAY,116356,43089,88.9,85.4,29.4,77.5,67.1,18.0,94.3,31.7,-32.44997,-58.58227
258,ENTRE RÍOS,VICTORIA,40652,14388,89.4,69.7,23.5,59.3,68.6,13.5,94.3,32.8,-32.78394,-60.21807
259,ENTRE RÍOS,VILLAGUAY,55796,19239,86.6,76.1,17.8,69.8,66.8,15.9,93.1,41.4,-31.64774,-59.05947
260,FORMOSA,BERMEJO,15644,5007,47.3,1.5,0.2,29.3,85.3,4.5,83.4,77.6,-24.02556,-61.2828
261,FORMOSA,FORMOSA,269589,88295,95.9,72.8,1.0,70.8,73.2,12.1,90.7,44.0,-25.93964,-58.37732
262,FORMOSA,LAISHÍ,19303,6385,75.5,9.8,0.5,42.0,79.8,6.6,88.5,56.0,-26.46759,-58.56544
263,FORMOSA,MATACOS,17032,5165,78.0,1.7,0.6,43.2,78.2,8.9,84.3,71.6,-23.85486,-62.07689
264,FORMOSA,PATIÑO,81819,27749,51.5,3.2,0.7,40.2,77.6,8.6,86.8,66.0,-24.87506,-59.9585
265,FORMOSA,PILAGÁS,19116,6278,26.7,3.0,0.5,41.3,85.3,4.9,87.1,63.8,-25.10538,-58.66163
266,FORMOSA,PILCOMAYO,94383,30189,63.8,41.4,1.4,58.3,79.1,8.9,87.7,61.1,-25.37004,-58.06261
267,FORMOSA,PIRANÉ,72804,24397,79.5,13.6,0.9,44.5,77.4,8.5,87.8,63.1,-25.76729,-59.15926
268,FORMOSA,RAMÓN LISTA,17729,4741,75.9,2.2,0.3,15.7,87.2,2.5,82.2,83.7,-23.12016,-62.1382
269,JUJUY,COCHINOCA,15054,4850,84.5,31.4,4.3,48.4,78.5,8.9,92.2,56.7,-22.93924,-65.93469
270,JUJUY,DR. MANUEL BELGRANO,320990,100036,98.0,78.5,50.2,81.1,73.1,12.4,90.9,39.6,-24.08934,-65.44848
271,JUJUY,EL CARMEN,122366,33904,97.1,44.2,27.6,67.5,75.1,8.7,94.0,55.4,-24.44782,-65.10113
272,JUJUY,HUMAHUACA,20914,6528,88.4,42.9,18.7,30.9,78.0,5.8,88.4,54.4,-23.08214,-65.40891
